,english,korean,japanese
tutorial after battle 3,I guess I am done here. I will look forward to see you again.,저는 이만 가볼게요. 다시 뵐 수 있길 기대할게요.,
tutorial after battle 4,How to see me? Oh` I bring you the stuffs you buy in the shop!,아` 상점에서 물건을 구입하시면 저를 다시 볼 수 있을거에요!,
tutorial after battle 5,So long` sweaty.,그럼 안녕~!,
tutorial complete,Tutorial complete!,튜토리얼 완료!,
tutorialTitle0,Run and jump,Run and jump,
tutorialTitle1,Jump and jump,Jump and jump,
tutorialTitle2,Don’t touch,Don’t touch,
tutorialTitle3,Invulnerable moment,Invulnerable moment,
tutorialTitle4,Shoot for your life,Shoot for your life,
tutorialTitle5,Suitcase and key,Suitcase and key,
tutorialTitle6,Don't die Don’t die,Don't die Don’t die,
tutorial0,Jump over the spike and hop on the warp.,가시를 잘 피해서 다음 던전으로 워프해봐.,
tutorial1,One more jump is allowed in the air. Called ‘Tumbling’.|Try and see what you can do with it.,점프한 후에 공중에서 한 번 더 점프를 할 수 있어.|텀블링이라고도 하지. 한 번 해봐. 꽤 많은 일들을 할 수 있다고!,
tutorial2,You may not want to touch the flying spike. Or do you?|That thing was not red at the beginning. Don’t make them redder.,저기 날아다니는 시뻘건 것들이 보일꺼야. 만지지 않는게 좋아.|괜히 빨간게 아니라구. 더 빨갛게 만들지 않길 바라.,
tutorial3,Jumping in the air is interesting. You can be invulnerable until you touch the ground. |This will save your life' Well.. sometimes.,공중에서 점프를 하는 건 꽤 즐거운 일이지?|그것 뿐만이 아니야. 텀블링 중에는 무적상태이니 데미지 입을 걱정은 없어.|화면 가득찬 총알들을 탈출할 수 있는 유일한 기술이니 잘 활용해야 해.,
tutorial4,There are some dummies. Shoot to get rid of it.|But don’t try to touch it. They also are cursed. You will get hurt.,저기 허수아비들이 보일꺼야. 쏴서 없애버려!|저주에 걸린 녀석들이니 건들지는 않는 게 좋을꺼야.,
tutorial5,The suitcase has an item to help you survive longer! You will need a blue dragon key to open.,수트케이스에는 좋은 게 들어있어. 던전에서 살아남는데 아주 유용할꺼야.|물론 잠겨있지! 열쇠? 맞아. 파란 용 모양의 열쇠가 있으면 열 수 있어.,
tutorial6,This is real! Try not to die.|Because I have to clean yours up. Don’t make me do chores.,이제 마지막 테스트야! 살아남아서 이 방에서 나가주렴.|여기서 죽으면 내가 또 다 치워야되니까 말이야. 여기까지 온 이상 널 응원해주겠어!,
seller0,Look at the sign.,오빠야~ 구경 안하고 가나?,
seller1,Does it say I give a damn?,쌔깐한 거 윽수로 많테이~,
seller2,No.,퍼득 들으와바라~,
seller3,That’s because I don’t.,안산다꼬?,
seller4,Buy or get out.,그라지말고. 하나만 사봐라 옵빠야.,
itemDescriptionKey,A blue dragon key that you can open the beautiful suit case.,수트케이스를 열 수 있는 파란 용 모양의 열쇠.,
itemDescriptionAmmo,Out of bullets? Take this!,현재 장착한 총의 탄창을 최대치로 채워준다.,
itemDescriptionHeart,You must need this. Unless you are already dead.,살아있음을 증명하는 하트.,
itemDescriptionDragonBaby,The dragon will help you.|It’s a baby.,어린 용. 불을 뿜는다.,
itemDescriptionDragonAdolescent,A bit more powerful than a baby dragon.,어린 용보다 조금 더 강력한 불을 뿜는다.,
itemDescriptionDragonAdult,This dragon makes some decent deals. You may wanna take it.,꽤 강력한 불을 뿜는 용.,
itemDescriptionDragonSenior,With this dragon you don’t have to fire! Just dodge the balls.,왠만한 무기보다 강력한 화력을 자랑하는 용.,
shieldName0,WOOD S.,나무 방패,
shieldName1,NEWBIE S.,훈련병의 방패,
shieldName2,CIVILIAN S.,민방위의 방패,
shieldName3,INDIAN S.,인디언 방패,
shieldName4,SQUAD.C. S.,분대장의 방패,
shieldName5,STEEL S.,철 방패,
shieldName6,GUARDIAN S.,수호대의 방해,
shieldName7,IRON S.,강철 방패,
shieldName8,RED S.,붉은 방패,
shieldName9,GOLD S.,황금 방패,
shieldName10,GREEN S.,초록 방패,
shieldName11,BLUE S.,푸른 방패,
shieldName12,KNIGHT S.,기사의 방패,
shieldName13,PALADIN S.,팔라딘의 방패,
shieldName14,LANCER S.,랜서의 방패,
shieldName15,TANKER S.,탱커의 방패,
shieldName16,VEGAS S.,베가스의 방패,
shieldName17,PHOENIX S.,피닉스 방패,
shieldName18,JUDGE’S S.,심판의 방패,
shieldName19,MEDUSA S.,메두사 방패,
shieldDesc0,A wood shield is only for practice. Not for the real war. But it is still better than nothing.,연습용 나무 방패. 전장에서 사용하기엔 적합하지 않지만 없는 것 보다 낫다.,
shieldDesc1,Indian’s shield is very light and hard enough to block the bullet.,나무로 만들었지만 먼거리의 총알 정도는 막아낼 수 있는 견고한 인디언들의 방패,
shieldDesc2,Steel shield is very heavy and firm.,매우 무겁지만 견고한 강철 방패.,
shieldDesc3,Red shield is for elite soldiers in the front line.,전선에 있는 정예병들이 사용하는 방패.,
shieldDesc4,Blue shield is for elite soldiers in the kingdom.,성벽 수비병들이 사용하는 방패.,
shieldDesc5,Green shield is for elite soldiers in the palace.,성내 수비병들이 사용하는 방패.,
shieldDesc6,Golden shield is lighter than Steel shield but more durable.,강철보다 가볍지만 더 견고한 황금방패.,
shieldDesc7,Paladin’s shield is for the elite soldiers who protect the king.,왕을 지키는 병사들이 사용하는 방패.,
weaponName0,PISTOL,딱총,
weaponName1,MAGNUM,매그넘,
weaponName2,UZI,우지,
weaponName3,RIFLE,라이플,
weaponName4,FIRE BOTTLER,화염병,
weaponName5,ANTI BAT,박쥐킬러,
weaponName6,SNIPER RIFLE,스나이퍼 라이플,
weaponName7,RIFLE_GRENADE,수류탄 라이플,
weaponName8,CROSS BOW,서꿍,
weaponName9,MACHINE GUN,따발총,
weaponName10,STRIKER,스트라이커,
weaponName11,NINJA KNIFE,수리검,
weaponName12,BALL SHOOTER,베이스볼 머신,
weaponName13,FLAME THROWER,화염방사기,
weaponName14,ROCKET LAUNCHER,로켓포,
weaponName15,BAZOOKA,바주카,
weaponName16,MATT A4,매트 A4,
weaponName17,LASER GUN,레이저 건,
weaponName18,ENERGY GUN,에너지 건,
weaponName19,G.R.L,유도탄총,
weaponName20,SLUGGER,슬러거,
weaponName21,DRAGON RIFLE,드래곤 라이플,
weaponName22,SHARK GUN,상어총,
weaponName23,SLUGGER NG,슬러거 NG,
weaponName24,LIGHTNING GUN,라이트닝 건,
weaponName25,LASER COIN,레이저 동전,
weaponDesc0,The true treasure that has an unlimited ammo. Only weak.,얕보지 마라. 무한이다.,
weaponDesc1,Small but powerful.,작지만 강력한 총.,
weaponDesc2,One hand machine gun. You will like it.,사거리가 짧지만 연사가 가능하다.,
weaponDesc3,You want powerful thing? Here it is.,권총과 비교 불가한 사거리를 자랑한다.,
weaponDesc4,Damage still can be made without a gun.,민간에서 제작 가능한 무기.,
weaponDesc5,This was helpful when you can only shoot at forward. You know what I mean?,한 번에 두 방향으로 쏠 수 있다.,
weaponDesc6,Singers use this. Take this and be a sniper!,스나이퍼들이 애용하는 총.,
